date,MW
2016/6/1 0:00,847.2819
2016/6/1 1:00,867.239
2016/6/1 2:00,837.6886
2016/6/1 3:00,818.2455
2016/6/1 4:00,800.1726
2016/6/1 5:00,802.8278
2016/6/1 6:00,850.1083
2016/6/1 7:00,934.4769
2016/6/1 8:00,902.1857
2016/6/1 9:00,903.3848
2016/6/1 10:00,870.1513
2016/6/1 11:00,699.1875
2016/6/1 12:00,683.1701
2016/6/1 13:00,849.5087
2016/6/1 14:00,883.1706
2016/6/1 15:00,860.3011
2016/6/1 16:00,877.6886
2016/6/1 17:00,780.7292
2016/6/1 18:00,694.4764
2016/6/1 19:00,689.3373
2016/6/1 20:00,660.0436
2016/6/1 21:00,671.864
2016/6/1 22:00,787.4101
2016/6/1 23:00,749.1232
2016/6/2 0:00,823.1277
2016/6/2 1:00,832.1211
2016/6/2 2:00,768.5665
2016/6/2 3:00,748.5238
2016/6/2 4:00,733.0204
2016/6/2 5:00,812.4209
2016/6/2 6:00,851.9926
2016/6/2 7:00,873.3203
2016/6/2 8:00,828.7807
2016/6/2 9:00,809.8515
2016/6/2 10:00,776.4466
2016/6/2 11:00,672.1209
2016/6/2 12:00,750.2366
2016/6/2 13:00,851.3933
2016/6/2 14:00,844.0269
2016/6/2 15:00,856.3609
2016/6/2 16:00,894.4768
2016/6/2 17:00,766.7676
2016/6/2 18:00,715.8897
2016/6/2 19:00,750.9218
2016/6/2 20:00,758.2024
2016/6/2 21:00,804.7979
2016/6/2 22:00,841.8857
2016/6/2 23:00,763.9412
2016/6/3 0:00,872.0356
2016/6/3 1:00,865.6971
2016/6/3 2:00,831.693
2016/6/3 3:00,799.6588
2016/6/3 4:00,800.0013
2016/6/3 5:00,834.0913
2016/6/3 6:00,866.2111
2016/6/3 7:00,853.7058
2016/6/3 8:00,754.4338
2016/6/3 9:00,865.6973
2016/6/3 10:00,892.5925
2016/6/3 11:00,768.0526
2016/6/3 12:00,661.1574
2016/6/3 13:00,850.451
2016/6/3 14:00,853.3631
2016/6/3 15:00,848.3952
2016/6/3 16:00,701.1573
2016/6/3 17:00,691.4787
2016/6/3 18:00,645.0545
2016/6/3 19:00,673.4912
2016/6/3 20:00,767.2817
2016/6/3 21:00,738.1595
2016/6/3 22:00,842.571
2016/6/3 23:00,833.2349
2016/6/4 0:00,884.4553
2016/6/4 1:00,909.8943
2016/6/4 2:00,884.8836
2016/6/4 3:00,864.9264
2016/6/4 4:00,833.4917
2016/6/4 5:00,846.4253
2016/6/4 6:00,834.4337
2016/6/4 7:00,887.0248
2016/6/4 8:00,827.5814
2016/6/4 9:00,852.2498
2016/6/4 10:00,853.4488
2016/6/4 11:00,801.7998
2016/6/4 12:00,611.3928
2016/6/4 13:00,673.834
2016/6/4 14:00,684.1981
2016/6/4 15:00,653.534
2016/6/4 16:00,682.1424
2016/6/4 17:00,700.4722
2016/6/4 18:00,687.7098
2016/6/4 19:00,706.7249
2016/6/4 20:00,735.6757
2016/6/4 21:00,773.2775
2016/6/4 22:00,788.6951
2016/6/4 23:00,734.2195
2016/6/5 0:00,796.575
2016/6/5 1:00,858.0741
2016/6/5 2:00,851.3074
2016/6/5 3:00,825.7827
2016/6/5 4:00,807.2821111
2016/6/5 5:00,854.2198
2016/6/5 6:00,861.2433
2016/6/5 7:00,839.7443
2016/6/5 8:00,732.7634
2016/6/5 9:00,616.7033
2016/6/5 10:00,666.5533
2016/6/5 11:00,625.6967
2016/6/5 12:00,603.0843
2016/6/5 13:00,643.2561
2016/6/5 14:00,618.1593
2016/6/5 15:00,638.2879
2016/6/5 16:00,681.6284
2016/6/5 17:00,841.1148
2016/6/5 18:00,852.6778
2016/6/5 19:00,869.4659
2016/6/5 20:00,873.4061
2016/6/5 21:00,905.0978
2016/6/5 22:00,879.7443
2016/6/5 23:00,810.5365
2016/6/6 0:00,729.5088
2016/6/6 1:00,800.6865
2016/6/6 2:00,848.0527
2016/6/6 3:00,821.6716
2016/6/6 4:00,822.1856
2016/6/6 5:00,859.3587
2016/6/6 6:00,866.8964
2016/6/6 7:00,837.7744
2016/6/6 8:00,801.8002
2016/6/6 9:00,804.5411
2016/6/6 10:00,824.9263
2016/6/6 11:00,807.1104
2016/6/6 12:00,778.8449
2016/6/6 13:00,812.9349
2016/6/6 14:00,811.8214
2016/6/6 15:00,808.4809
2016/6/6 16:00,822.4424
2016/6/6 17:00,815.4189
2016/6/6 18:00,816.3611
2016/6/6 19:00,838.7167
2016/6/6 20:00,844.541
2016/6/6 21:00,851.3075
2016/6/6 22:00,874.6908
2016/6/6 23:00,886.0828
2016/6/7 0:00,915.2048
2016/6/7 1:00,959.2307
2016/6/7 2:00,943.9843
2016/6/7 3:00,938.1599
2016/6/7 4:00,932.3356
2016/6/7 5:00,931.479
2016/6/7 6:00,962.2286
2016/6/7 7:00,958.2028
2016/6/7 8:00,873.6629
2016/6/7 9:00,880.0015
2016/6/7 10:00,906.9823
2016/6/7 11:00,868.0956
2016/6/7 12:00,874.691
2016/6/7 13:00,908.0957
2016/6/7 14:00,913.663
2016/6/7 15:00,904.5839
2016/6/7 16:00,917.175
2016/6/7 17:00,878.5452
2016/6/7 18:00,871.6073
2016/6/7 19:00,886.9393
2016/6/7 20:00,891.993
2016/6/7 21:00,906.8108
2016/6/7 22:00,951.3504
2016/6/7 23:00,886.1684
2016/6/8 0:00,925.8259
2016/6/8 1:00,965.3977
2016/6/8 2:00,950.4939
2016/6/8 3:00,931.0507
2016/6/8 4:00,927.282
2016/6/8 5:00,944.7552
2016/6/8 6:00,949.7231
2016/6/8 7:00,944.1555
2016/6/8 8:00,874.0914
2016/6/8 9:00,957.9459
2016/6/8 10:00,954.8623
2016/6/8 11:00,870.1513
2016/6/8 12:00,839.4017
2016/6/8 13:00,917.2605
2016/6/8 14:00,912.0357
2016/6/8 15:00,866.982
2016/6/8 16:00,937.9885
2016/6/8 17:00,909.466
2016/6/8 18:00,899.5304
2016/6/8 19:00,918.1169
2016/6/8 20:00,926.7679
2016/6/8 21:00,949.4662
2016/6/8 22:00,985.6117
2016/6/8 23:00,944.4127
2016/6/9 0:00,967.9673
2016/6/9 1:00,979.8731
2016/6/9 2:00,956.9179
2016/6/9 3:00,935.5047
2016/6/9 4:00,938.5026
2016/6/9 5:00,955.2905
2016/6/9 6:00,965.3118
2016/6/9 7:00,891.7358
2016/6/9 8:00,782.1568889
2016/6/9 9:00,692.2496
2016/6/9 10:00,669.2088
2016/6/9 11:00,653.1058
2016/6/9 12:00,637.6882
2016/6/9 13:00,644.0268
2016/6/9 14:00,644.1127
2016/6/9 15:00,648.138
2016/6/9 16:00,664.7548
2016/6/9 17:00,673.6628
2016/6/9 18:00,665.0972
2016/6/9 19:00,661.8424
2016/6/9 20:00,702.8706
2016/6/9 21:00,739.0161
2016/6/9 22:00,759.4015
2016/6/9 23:00,691.8211
2016/6/10 0:00,735.4187
2016/6/10 1:00,779.3586
2016/6/10 2:00,772.6777
2016/6/10 3:00,761.6284
2016/6/10 4:00,758.2881
2016/6/10 5:00,821.6714
2016/6/10 6:00,833.4914
2016/6/10 7:00,826.3823
2016/6/10 8:00,789.8941
2016/6/10 9:00,803.0847
2016/6/10 10:00,848.3097
2016/6/10 11:00,847.2819
2016/6/10 12:00,830.0656
2016/6/10 13:00,897.7316
2016/6/10 14:00,826.5538
2016/6/10 15:00,832.7207
2016/6/10 16:00,857.9028
2016/6/10 17:00,855.1618
2016/6/10 18:00,834.2625
2016/6/10 19:00,862.4423
2016/6/10 20:00,905.3546
2016/6/10 21:00,871.3503
2016/6/10 22:00,828.4382
2016/6/10 23:00,743.8126
